"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Mine 9","Eddie Mensore","United States",2019,"Dramas, Independent Movies","A methane explosion leaves a group of miners trapped two miles deep into the earth with a small oxygen supply and desperate for any means of survival.","Mine 9","Drama",66,"3 stars"
"The Trigger Effect","David Koepp","United States",1996,"Thrillers","When a power failure throws their suburban town into chaos, Matthew and his wife stoop to desperate measures to secure medication for their child.","The Trigger Effect","Drama,Thriller",66,"3 stars"
"The One I Love","Charlie McDowell","United States",2014,"Comedies, Dramas, Independent Movies","Confronted with the potential end of their marriage, Ethan and Sophie take off for a weekend together, hoping to negotiate their future.","The One I Love","Drama,Comedy,Romance",66,"3 stars"
"6 Balloons","Marja Lewis Ryan","United States",2018,"Dramas, Independent Movies","A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.","6 Balloons","Drama",66,"3 stars"
"Blood Father","Jean-François Richet","France",2016,"Action & Adventure, International Movies","An ex-convict and estranged father finds the chance to prove himself when his daughter seeks his help shaking off a dangerous group of drug dealers.","Blood Father","Action,Thriller,Crime",66,"3 stars"
"The Trip to Spain","Michael Winterbottom","United Kingdom",2016,"Comedies","Comedians Steve Coogan and Rob Brydon gorge on local delicacies and celebrity impressions as they reunite for a hilarious road trip through Spain.","The Trip to Spain","Drama,Comedy",66,"3 stars"
"Whisky","Pablo Stoll, Juan Pablo Rebella","Uruguay, Argentina, Germany, Spain",2004,"Comedies, Dramas, International Movies","To impress family, a factory owner pretends to be married to one of his employees, and soon, the ""couple"" finds their lives radically altered.","Whisky","Drama,Comedy",66,"3 stars"
"Afterschool","Antonio Campos","United States",2008,"Dramas, Independent Movies","When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.","Afterschool","Drama",66,"3 stars"
"God Knows Where I Am","Jedd Wider, Todd Wider","United States",2016,"Documentaries","Through diary entries, this documentary follows the life and death of homeless woman Linda Bishop and her struggles with starvation, sanity and God.","God Knows Where I Am","Biography,Drama,History,Mystery,Documentary",66,"3 stars"
"Cloudy with a Chance of Meatballs","Phil Lord, Christopher Miller","United States",2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.","Cloudy with a Chance of Meatballs","Comedy,Animation,Family",66,"3 stars"
"Cop Car","Jon Watts","United States",2015,"Thrillers","Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.","Cop Car","Thriller",66,"3 stars"
"Terminator 3: Rise of the Machines","Jonathan Mostow","United States, Germany, United Kingdom",2003,"Action & Adventure, Sci-Fi & Fantasy","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.","Terminator 3: Rise of the Machines","Action,Sci-Fi,Thriller",66,"3 stars"
"Puss in Boots","Chris Miller","United States",2011,"Children & Family Movies, Comedies","The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure: the Golden Goose.","Puss in Boots","Adventure,Fantasy,Comedy,Animation",65,"3 stars"
"Jimmy Neutron: Boy Genius","John A. Davis","United States",2001,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When gooey green aliens kidnap all the adults in Retroville, it's up to 11-year-old Jimmy Neutron to come up with a plan to rescue them.","Jimmy Neutron: Boy Genius","Adventure,Sci-Fi,Comedy,Animation,Family",65,"3 stars"
"The Confirmation","Bob Nelson","Canada",2016,"Comedies, Dramas, Independent Movies","A divorced handyman with a drinking problem bonds with his 8-year-old son when a search for his stolen toolbox leads to a series of misadventures.","The Confirmation","Comedy",65,"3 stars"
"The Autopsy of Jane Doe","André Øvredal","United Kingdom, United States",2016,"Horror Movies, Independent Movies, Thrillers","A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.","The Autopsy of Jane Doe","Horror",65,"3 stars"
"Rain Man","Barry Levinson","United States",1988,"Classic Movies, Dramas","A fast-talking yuppie is forced to slow down when he meets the brother he never knew he had, an unusually gifted autistic savant named Raymond.","Rain Man","Drama",65,"3 stars"
"White Girl","Elizabeth Wood","United States",2016,"Dramas, Independent Movies","A college girl romping through New York City in search of cocaine and other highs finds something real to grasp, only to see it potentially slip away.","White Girl","Drama",65,"3 stars"
"My Week with Marilyn","Simon Curtis","United Kingdom, United States",2011,"Dramas, Romantic Movies","While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity.","My Week with Marilyn","Drama",65,"3 stars"
"Cargo","Arati Kadav","India",2020,"Comedies, Dramas, Independent Movies","Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.","Cargo","Drama,Thriller",65,"3 stars"
"Panic Room","David Fincher","United States",2002,"Thrillers","A woman and her daughter are caught in a game of cat-and-mouse with burglars in their New York City home and are forced to retreat inside a vault.","Panic Room","Thriller",65,"3 stars"
"Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg","United States",2008,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","Indiana Jones is drawn into a Russian plot to unearth the Crystal Skulls of Akator, Amazonian artifacts with supernatural powers.","Indiana Jones and the Kingdom of the Crystal Skull","Action,Adventure,Thriller",65,"3 stars"
"Get Him to the Greek","Nicholas Stoller","United States",2010,"Comedies, Music & Musicals","Ambitious young record company intern Aaron must escort an unruly rock star to Los Angeles for the start of his anniversary concert.","Get Him to the Greek","Comedy",65,"3 stars"
"The Runaways","Floria Sigismondi","United States",2010,"Dramas, Independent Movies, Music & Musicals","This biopic charts the rise of the rebellious California girls who formed the 1970s rock group the Runaways, paving the way for future girl musicians.","The Runaways","Drama,Music",65,"3 stars"
"Black '47","Lance Daly","Ireland, Luxembourg, Belgium",2018,"Action & Adventure, Dramas, Independent Movies","When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible.","Black '47","Action,Drama",65,"3 stars"
"Saving Mr. Banks","John Lee Hancock","United States, United Kingdom, Australia",2013,"Comedies, Dramas","When Walt Disney sets his sights on obtaining the rights to the children's classic ""Mary Poppins,"" the book's author proves a tough nut to crack.","Saving Mr. Banks","Biography,Drama,History,Comedy,Music,Family",65,"3 stars"
"GoldenEye","Martin Campbell","United Kingdom, United States",1995,"Action & Adventure","Pierce Brosnan takes his first turn as debonair secret agent James Bond, who investigates the destruction of a Russian satellite weapons base.","GoldenEye","Action,Adventure,Thriller",65,"3 stars"
"The Guernsey Literary and Potato Peel Pie Society","Mike Newell","United Kingdom, France, United States",2018,"Dramas, Romantic Movies","A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.","The Guernsey Literary and Potato Peel Pie Society","Drama,History,Romance",65,"3 stars"
"The Imaginarium of Doctor Parnassus","Terry Gilliam","United Kingdom, Canada, France, United States",2009,"Action & Adventure, Sci-Fi & Fantasy","When a deal with the devil comes due, the immortal Doctor Parnassus must renegotiate the pact to save his daughter and right the wrongs of his past.","The Imaginarium of Doctor Parnassus","Adventure,Mystery,Fantasy",65,"3 stars"
"Miss Stevens","Julia Hart","United States",2016,"Dramas, Independent Movies","Emotionally vulnerable teacher Rachel accompanies three students to a weekend drama competition and forms an unexpected bond with troubled teen Billy.","Miss Stevens","Drama,Comedy",65,"3 stars"
"Hostiles","Scott Cooper","United States",2017,"Dramas","After a long career battling the Cheyenne, a U.S. Army captain is ordered to safely escort the tribe's most influential chief to his Montana homeland.","Hostiles","Adventure,Drama,Western",65,"3 stars"
"Indiana Jones and the Last Crusade","Steven Spielberg","United States",1989,"Action & Adventure, Children & Family Movies, Classic Movies","Accompanied by his father, Indiana Jones sets off on his third adventure to explore the cradle of civilization on a perilous hunt for the Holy Grail.","Indiana Jones and the Last Crusade","Action,Adventure",65,"3 stars"
"The Polka King","Maya Forbes","United States",2018,"Comedies, Independent Movies","Determined to make it big in America, Polish-born bandleader Jan Lewan draws his fans into a Ponzi scheme in this comedy based on a true story.","The Polka King","Biography,Drama,Comedy",65,"3 stars"
"Last Night","Massy Tadjedin","United States, France",2010,"Dramas, Independent Movies, Romantic Movies","During an evening apart, married couple Joanna and Michael encounter tempting opportunities to cheat on each other with sexy acquaintances.","Last Night","Sci-Fi,Drama",65,"3 stars"
"Tremors","Ron Underwood","United States",1990,"Comedies, Cult Movies, Horror Movies","After a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground.","Tremors","Sci-Fi,Horror,Comedy",65,"3 stars"
"The Unknown Girl","Jean-Pierre Dardenne, Luc Dardenne","Belgium, France",2016,"Dramas, International Movies","A guilt-ridden doctor in a Belgian town tries to uncover the identity of a woman who died after being turned away from her office.","The Unknown Girl","Drama,Mystery,Thriller,Crime",65,"3 stars"
"Michael","Ribhu Dasgupta","India",2011,"Dramas, Independent Movies, International Movies","After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together.","Michael","Drama",64,"3 stars"
"The Pursuit of Happyness","Gabriele Muccino","United States",2006,"Dramas","When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm.","The Pursuit of Happyness","Biography,Drama",64,"3 stars"
